nr_dpus,input_size,transfer_type,cpu-dpu_time,dpu-cpu_time
43,16384,SERIAL,0.197,0.103
43,393216,PARALLEL,1.911,0.128
43,393216,BROADCAST,1.824,0.123
43,393216,SERIAL,1.816,0.096
43,786432,PARALLEL,4.145,0.123
43,786432,BROADCAST,3.533,0.124
43,786432,SERIAL,3.683,0.128
44,16384,PARALLEL,0.158,0.056
44,16384,BROADCAST,0.172,0.092
44,16384,SERIAL,0.16,0.091
44,393216,PARALLEL,1.901,0.162
44,393216,BROADCAST,1.816,0.062
44,393216,SERIAL,1.932,0.124
44,786432,PARALLEL,3.691,0.086
44,786432,BROADCAST,4.06,0.115
44,786432,SERIAL,7.094,0.098
45,16384,PARALLEL,0.424,0.1
45,16384,BROADCAST,0.154,0.072
45,16384,SERIAL,0.196,0.073
45,393216,PARALLEL,2.25,0.077
45,393216,BROADCAST,2.473,0.084
45,393216,SERIAL,1.818,0.052
45,786432,PARALLEL,4.033,0.057
45,786432,BROADCAST,4.052,0.075
45,786432,SERIAL,4.12,0.067
46,16384,PARALLEL,0.25,0.081
46,16384,BROADCAST,0.193,0.101
46,16384,SERIAL,0.171,0.098
46,393216,PARALLEL,2.053,0.057
46,393216,BROADCAST,2.149,0.157
46,393216,SERIAL,1.945,0.073
46,786432,PARALLEL,4.261,0.081
46,786432,BROADCAST,4.676,0.088
46,786432,SERIAL,4.45,0.077
47,16384,PARALLEL,0.139,0.2
47,16384,BROADCAST,0.344,0.079
47,16384,SERIAL,0.194,0.075
47,393216,PARALLEL,2.015,0.089
47,393216,BROADCAST,2.15,0.225
47,393216,SERIAL,1.767,0.051
47,786432,PARALLEL,3.549,0.052
47,786432,BROADCAST,4.106,0.074
47,786432,SERIAL,4.204,0.063
48,16384,PARALLEL,0.162,0.08
48,16384,BROADCAST,0.706,0.49
48,16384,SERIAL,0.837,0.785
48,393216,PARALLEL,1.108,0.237
48,393216,BROADCAST,1.426,0.442
48,393216,SERIAL,1.732,0.368
48,786432,PARALLEL,1.436,0.607
48,786432,BROADCAST,1.285,0.514
48,786432,SERIAL,1.814,0.808
49,16384,PARALLEL,0.495,0.298
49,16384,BROADCAST,0.714,0.698
49,16384,SERIAL,1.468,1.962
49,393216,PARALLEL,1.302,0.473
49,393216,BROADCAST,1.193,0.863
49,393216,SERIAL,1.056,0.551
49,786432,PARALLEL,1.465,0.332
