nr_dpus,input_size,transfer_type,cpu-dpu_time,dpu-cpu_time
18,16384,PARALLEL,0.6037,0.05369999999999999
18,16384,BROADCAST,0.6056999999999999,0.053099999999999994
18,16384,SERIAL,0.5891,0.0498
18,393216,PARALLEL,0.7363,0.0543
18,393216,BROADCAST,0.7757000000000001,0.1449
18,393216,SERIAL,0.8013999999999999,0.06210000000000001
18,786432,PARALLEL,0.9921,0.07970000000000001
18,786432,BROADCAST,0.9777000000000001,0.22080000000000002
18,786432,SERIAL,1.0211000000000001,0.05199999999999999
19,16384,PARALLEL,0.6316999999999999,0.05739999999999999
19,16384,BROADCAST,0.6355,0.059899999999999995
19,16384,SERIAL,0.6078,0.05500000000000001
19,393216,PARALLEL,0.8866999999999999,0.05720000000000001
19,393216,BROADCAST,0.8607000000000001,0.13810000000000003
19,393216,SERIAL,0.7657,0.0612
19,786432,PARALLEL,0.9865999999999999,0.05439999999999999
19,786432,BROADCAST,1.0774000000000001,0.2113
19,786432,SERIAL,1.1075000000000002,0.05639999999999999
20,16384,PARALLEL,0.6346,0.0627
20,16384,BROADCAST,0.6251,0.0617
20,16384,SERIAL,0.6202,0.053000000000000005
20,393216,PARALLEL,0.9163,0.05700000000000001
20,393216,BROADCAST,0.8083,0.131
20,393216,SERIAL,0.908,0.05790000000000001
20,786432,PARALLEL,1.0121000000000002,0.059
20,786432,BROADCAST,1.0794000000000001,0.22359999999999997
20,786432,SERIAL,1.0647,0.05870000000000001
21,16384,PARALLEL,0.6616,0.05499999999999999
21,16384,BROADCAST,0.6691,0.0623
21,16384,SERIAL,0.7577,0.05800000000000001
21,393216,PARALLEL,0.9030999999999999,0.0764
21,393216,BROADCAST,0.8114999999999999,0.13499999999999998
21,393216,SERIAL,0.8521000000000001,0.0615
21,786432,PARALLEL,1.1118,0.0671
21,786432,BROADCAST,1.1356,0.2391
21,786432,SERIAL,1.126,0.06439999999999999
22,16384,PARALLEL,0.6940999999999999,0.059199999999999996
22,16384,BROADCAST,0.7110000000000001,0.06380000000000001
22,16384,SERIAL,0.6892,0.056900000000000006
22,393216,PARALLEL,0.8317,0.05800000000000001
22,393216,BROADCAST,0.9599,0.1399
22,393216,SERIAL,0.7996999999999999,0.061
22,786432,PARALLEL,1.1295,0.06119999999999999
22,786432,BROADCAST,1.065,0.2162
22,786432,SERIAL,1.1522999999999999,0.0675
23,16384,PARALLEL,0.7530999999999999,0.0655
23,16384,BROADCAST,0.7071999999999999,0.0795
23,16384,SERIAL,0.6717000000000001,0.05920000000000001
23,393216,PARALLEL,0.8736,0.0675
23,393216,BROADCAST,0.8402000000000001,0.13940000000000002
23,393216,SERIAL,0.9319,0.0601
23,786432,PARALLEL,1.0515,0.05940000000000001
23,786432,BROADCAST,1.1602999999999999,0.23370000000000002
23,786432,SERIAL,1.2489000000000001,0.0643
24,16384,PARALLEL,0.7424999999999999,0.06839999999999999
24,16384,BROADCAST,0.7053,0.0661
24,16384,SERIAL,0.7163,0.06100000000000001
24,393216,PARALLEL,1.0121,0.07490000000000001
24,393216,BROADCAST,0.8928,0.14700000000000002
24,393216,SERIAL,0.8931999999999999,0.0623
24,786432,PARALLEL,1.1404,0.057600000000000005
24,786432,BROADCAST,1.1602000000000001,0.21480000000000002
24,786432,SERIAL,1.2739999999999998,0.06130000000000001
25,16384,PARALLEL,0.8168000000000001,0.0748
25,16384,BROADCAST,0.7259,0.06910000000000001
25,16384,SERIAL,0.7414000000000001,0.06359999999999999
25,393216,PARALLEL,1.0077,0.0634
25,393216,BROADCAST,0.8898999999999999,0.1411
25,393216,SERIAL,0.8908999999999999,0.0591
25,786432,PARALLEL,1.1188,0.0744
25,786432,BROADCAST,1.2988000000000002,0.22749999999999998
25,786432,SERIAL,1.235,0.0706
26,16384,PARALLEL,0.8172,0.08349999999999999
26,16384,BROADCAST,0.7607,0.0753
26,16384,SERIAL,0.7426,0.059899999999999995
26,393216,PARALLEL,0.9851000000000001,0.06080000000000001
26,393216,BROADCAST,1.0745,0.1524
26,393216,SERIAL,0.9663,0.06799999999999999
26,786432,PARALLEL,1.3007000000000002,0.06920000000000001
26,786432,BROADCAST,1.3272000000000002,0.33120000000000005
26,786432,SERIAL,1.1783,0.07239999999999999
27,16384,PARALLEL,0.784,0.0769
27,16384,BROADCAST,0.7929999999999999,0.0732
27,16384,SERIAL,0.7760999999999999,0.0738
27,393216,PARALLEL,1.0119000000000002,0.07500000000000001
27,393216,BROADCAST,1.1325,0.14189999999999997
